location,date,New_Cases,New_Deaths,Reproduction_Rate,ICU_Patients,Hosp_Patients,Positive_Rate,People_Vaccinated,People_Fully_Vaccinated,Total_Boosters,Population,Population_Density,Extreme_Poverty
Afghanistan,2020,52332.0,2189.0,307.68,0.0,0.0,0.0,0.0,0.0,0.0,12428653536.0,16979.664,0.0
Afghanistan,2021,105754.0,5167.0,365.51,0.0,0.0,0.0,19368570.0,9741539.0,0.0,14539931220.0,19864.03,0.0
Afghanistan,2022,19749.0,315.0,100.56,0.0,0.0,9.6498,78842477.0,67975210.0,0.0,3704694804.0,5061.246,0.0
Argentina,2020,1625514.0,43245.0,332.87,538765.0,0.0,82.704,104451.0,25.0,0.0,16691731218.0,5920.782,219.6
Argentina,2021,4028894.0,73924.0,376.57,1205691.0,0.0,51.379,6627305129.0,3967055689.0,158908017.0,16646125395.0,5904.605,219.0
Argentina,2022,3386716.0,10896.0,78.11,147818.0,0.0,25.416,3750840458.0,3328696160.0,1371994289.0,4241341539.0,1504.461,55.8
Armenia,2020,159409.0,2823.0,315.56,0.0,0.0,67.261,0.0,0.0,0.0,988386624.0,34276.023,599.4
Armenia,2021,185521.0,5151.0,358.77,0.0,0.0,33.709,10402948.0,5677284.0,628.0,1083366720.0,37569.815,657.0
Armenia,2022,77644.0,645.0,84.9,0.0,0.0,12.709,9252429.0,8398292.0,81650.0,276035904.0,9572.583,167.4
Australia,2020,28425.0,910.0,309.57,5330.0,39624.0,0.998,0.0,0.0,0.0,8793781997.0,1091.882,170.5
Australia,2021,95648.0,482.0,317.01,13817.0,80237.0,0.4653,1369815268.0,674041472.0,1369724.0,7220700760.0,896.56,140.0
Australia,2022,513243.0,1186.0,11.75,3973.0,58490.0,0.9413,350545495.0,327216975.0,161201353.0,464187906.0,57.635999999999996,9.0
Austria,2020,360815.0,6224.0,340.52,49422.0,294149.0,0.0,0.0,0.0,0.0,2812395392.0,33198.939,217.7
Austria,2021,784256.0,6550.0,325.17,92610.0,413032.0,2.1526,16781425.0,14286007.0,2928.0,2893783040.0,34159.68,224.0
Austria,2022,2242202.0,1986.0,94.6,17464.0,170064.0,3.786,13570796.0,13045805.0,9677853.0,741531904.0,8753.418,57.4
Bangladesh,2020,513510.0,7559.0,301.69,0.0,0.0,41.6688,0.0,0.0,0.0,49724744706.0,378245.764,4425.2
Bangladesh,2021,1072029.0,20513.0,360.13,0.0,0.0,37.4628,3735071990.0,2085769321.0,0.0,60700775310.0,461738.14,5402.0
Bangladesh,2022,366231.0,1050.0,84.67,0.0,0.0,10.6874,4628058604.0,3333275365.0,175367966.0,15466224942.0,117648.348,1376.4
Belarus,2020,194284.0,1424.0,313.76,0.0,0.0,13.0889,0.0,0.0,0.0,2908403036.0,14432.264,0.0
Belarus,2021,504826.0,4154.0,363.26,0.0,0.0,26.8546,56182448.0,41326293.0,114146.0,3446646455.0,17103.17,0.0
Belarus,2022,266212.0,1266.0,90.15,0.0,0.0,12.2823,48175785.0,43701547.0,1002944.0,878186631.0,4357.794,0.0
Belgium,2020,646496.0,19645.0,346.67,133497.0,637535.0,26.804,2579.0,53.0,0.0,3861934888.0,124687.248,66.4
Belgium,2021,554560.0,5914.0,304.25,115814.0,441393.0,16.984,1302379521.0,971574932.0,40730606.0,3338479858.0,107786.868,57.400000000000006
Belgium,2022,43601.0,79.0,33.94,9825.0,85769.0,9.438,320617623.0,315353999.0,234450571.0,418764024.0,13520.304,7.2
Bhutan,2020,670.0,0.0,132.67,0.0,0.0,0.7735,0.0,0.0,0.0,234749900.0,6377.588,451.5
Bhutan,2021,1990.0,3.0,269.66,0.0,0.0,0.6516,44255442.0,12786641.0,0.0,284663500.0,7733.62,547.5
Bhutan,2022,28777.0,9.0,115.83,0.0,0.0,1.0408,6126161.0,5730038.0,872710.0,72530700.0,1970.484,139.5
Brazil,2020,7700828.0,195072.0,355.62,0.0,0.0,0.0,0.0,0.0,0.0,66337966710.0,7762.4,1054.0
Brazil,2021,14485929.0,424262.0,358.28000000000003,0.0,0.0,0.0,28833477463.0,17472768786.0,1138935792.0,78107605965.0,9139.6,1241.0
Brazil,2022,7710946.0,41076.0,102.49,0.0,0.0,0.0,15158005813.0,13286412838.0,4865805519.0,19901390013.0,2328.72,316.2
Brunei,2020,157.0,3.0,9.93,0.0,0.0,0.0,0.0,0.0,0.0,131576536.0,24241.406,0.0
Brunei,2021,15331.0,95.0,296.01,0.0,0.0,0.0,31597308.0,21220524.0,0.0,161159180.0,29691.655,0.0
Brunei,2022,120504.0,115.0,124.87,0.0,0.0,0.0,3664892.0,3633142.0,373919.0,41062476.0,7565.271,0.0
Cambodia,2020,378.0,0.0,102.58,0.0,0.0,0.0,0.0,0.0,0.0,5761791640.0,30828.48,0.0
Cambodia,2021,120115.0,3012.0,365.24,0.0,0.0,14.3033,2269290270.0,1941442310.0,222708166.0,6185452790.0,33095.28,0.0
Cambodia,2022,15254.0,42.0,106.06,0.0,0.0,5.8744,1203227557.0,1146270939.0,564866409.0,1576019478.0,8432.496,0.0
Canada,2020,590249.0,16685.0,345.23,82261.0,409712.0,12.1501,642197.0,13.0,0.0,13095362072.0,1388.728,172.0
Canada,2021,229018.0,4930.0,40.77,35342.0,170415.0,2.1891,105974756.0,68663146.0,18638.0,1674988172.0,177.628,22.0
Canada,2022,91003.0,547.0,9.64,6726.0,61966.0,1.5248,98111111.0,93573727.0,54947597.0,532950782.0,56.518,7.0
Chile,2020,608973.0,16608.0,333.1,277223.0,0.0,32.5858,57204.0,0.0,0.0,6013469306.0,7600.266,406.90000000000003
Chile,2021,1197521.0,22720.0,363.81,592139.0,0.0,20.8867,3917613786.0,3357873374.0,756818419.0,7012512130.0,8862.93,474.5
Chile,2022,1680159.0,6188.0,103.59,66002.0,0.0,16.898600000000002,1555446946.0,1501072569.0,1192263095.0,1786749666.0,2258.226,120.9
China,2020,93172.0,4617.0,351.95,0.0,0.0,0.0004,0.0,0.0,0.0,498254555190.0,50947.53,241.49999999999997
China,2021,21498.0,5.0,373.01,0.0,0.0,0.0,6375309000.0,19267006000.0,370035000.0,527138877230.0,53901.01,255.49999999999997
China,2022,144194.0,2.0,119.49,0.0,0.0,0.0,15231060000.0,15996359000.0,3969877000.0,134312097486.0,13733.682,65.1
