Location,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
Afghanistan,177835.0,7671.0,0.0,0.0,77716749.0,0.0
Argentina,9041124.0,128065.0,1892274.0,0.0,7295751874.0,494.4
Armenia,422574.0,8619.0,0.0,0.0,14075576.0,1423.8
Australia,126903.0,1083.0,7222.0,64175.0,173330899.0,275.0
Austria,3356737.0,14488.0,157944.0,866079.0,20709967.0,495.59999999999997
Bangladesh,1951770.0,29122.0,0.0,0.0,5419044686.0,11203.6
Belarus,965322.0,6844.0,0.0,0.0,85027840.0,0.0
Belgium,646608.0,19351.0,161511.0,793771.0,792642302.0,85.80000000000001
Bhutan,31437.0,12.0,0.0,0.0,18516679.0,1138.5
Brazil,29897703.0,660410.0,0.0,0.0,30759181624.0,2611.2
Brunei,135992.0,213.0,0.0,0.0,24853666.0,0.0
Cambodia,135747.0,3054.0,0.0,0.0,3087713249.0,0.0
Canada,590897.0,15727.0,80921.0,422478.0,65959173.0,174.0
Chile,3486653.0,45516.0,935364.0,0.0,4858945943.0,1002.3000000000001
China,258864.0,4624.0,0.0,0.0,35263365000.0,562.0999999999999
Colombia,6085926.0,139660.0,0.0,0.0,4542608843.0,3415.5
Cook Islands,2296.0,0.0,0.0,0.0,206418.0,0.0
Czechia,3835599.0,39753.0,325922.0,1925327.0,1830005806.0,0.0
Denmark,253256.0,1275.0,11832.0,60963.0,222499933.0,84.80000000000001
Fiji,64417.0,836.0,0.0,0.0,17571640.0,1113.0
Finland,889626.0,2994.0,16914.0,135046.0,267833073.0,0.0
France,26474945.0,142962.0,1891435.0,12946889.0,13191151162.0,0.0
Germany,21706385.0,130073.0,1679282.0,0.0,16515639602.0,0.0
Greece,3077711.0,27684.0,0.0,0.0,1941745822.0,1156.5
Guam,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong,1171446.0,8172.0,0.0,0.0,1219473793.0,0.0
Hungary,1854198.0,45510.0,0.0,2160244.0,1283405900.0,381.0
India,43029044.0,513985.0,0.0,0.0,118929354507.0,16854.0
Indonesia,6015748.0,155164.0,0.0,0.0,23575590512.0,4349.1
Ireland,1003292.0,2445.0,27787.0,177830.0,813806378.0,116.60000000000001
