Region,Quarter,Country,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
AMER,FY21Q1,Argentina,4532.0,225.0,0.0,0.0,0.0,73.2
AMER,FY21Q1,Brazil,92202.0,6412.0,0.0,0.0,0.0,224.4
AMER,FY21Q1,Canada,59025.0,5218.0,16799.0,64626.0,0.0,50.0
AMER,FY21Q1,Chile,18687.0,234.0,11339.0,0.0,0.0,89.7
AMER,FY21Q1,Colombia,7006.0,314.0,0.0,0.0,0.0,256.5
AMER,FY21Q1,Mexico,20739.0,1972.0,0.0,0.0,0.0,305.0
AMER,FY21Q1,Peru,40459.0,5181.0,0.0,0.0,0.0,199.5
AMER,FY21Q1,United States,1111363.0,68063.0,0.0,0.0,0.0,121.19999999999999
AMER,FY21Q1,Venezuela,335.0,16.0,0.0,0.0,0.0,0.0
AMER,FY21Q2,Argentina,186770.0,3318.0,25242.0,0.0,0.0,54.6
AMER,FY21Q2,Brazil,2598045.0,86316.0,0.0,0.0,0.0,309.4
AMER,FY21Q2,Canada,57861.0,3942.0,22400.0,137911.0,0.0,45.5
AMER,FY21Q2,Chile,336980.0,9223.0,134871.0,0.0,0.0,118.3
AMER,FY21Q2,Colombia,288502.0,9791.0,0.0,0.0,0.0,409.5
AMER,FY21Q2,Mexico,403898.0,44716.0,0.0,0.0,0.0,227.5
AMER,FY21Q2,Peru,367033.0,50801.0,0.0,0.0,0.0,318.5
AMER,FY21Q2,United States,3432217.0,85765.0,212633.0,743490.0,0.0,109.2
AMER,FY21Q2,Venezuela,18239.0,154.0,0.0,0.0,0.0,0.0
AMER,FY21Q3,Argentina,965877.0,27249.0,277084.0,0.0,0.0,54.6
AMER,FY21Q3,Brazil,2854142.0,66952.0,0.0,0.0,0.0,309.4
AMER,FY21Q3,Canada,118636.0,1278.0,10637.0,46787.0,0.0,45.5
AMER,FY21Q3,Chile,152904.0,4701.0,87681.0,0.0,0.0,118.3
AMER,FY21Q3,Colombia,767643.0,21030.0,0.0,0.0,0.0,409.5
AMER,FY21Q3,Mexico,494174.0,41812.0,0.0,0.0,0.0,227.5
AMER,FY21Q3,Peru,490102.0,30387.0,0.0,0.0,0.0,318.5
AMER,FY21Q3,United States,4524992.0,76756.0,914223.0,3081925.0,0.0,109.2
AMER,FY21Q3,Venezuela,73015.0,629.0,0.0,0.0,0.0,0.0
AMER,FY21Q4,Argentina,758183.0,16983.0,336479.0,0.0,469231.0,54.6
AMER,FY21Q4,Brazil,3602914.0,63208.0,0.0,0.0,0.0,309.4
AMER,FY21Q4,Canada,287932.0,4869.0,24860.0,122552.0,0.0,26.0
AMER,FY21Q4,Chile,210178.0,4099.0,73554.0,0.0,141904.0,118.3
AMER,FY21Q4,Colombia,1014482.0,22149.0,0.0,0.0,0.0,409.5
AMER,FY21Q4,Mexico,923082.0,65290.0,0.0,0.0,274982.0,227.5
AMER,FY21Q4,Peru,222091.0,16387.0,0.0,0.0,0.0,318.5
AMER,FY21Q4,United States,7148918.0,71221.0,810995.0,3369034.0,0.0,51.6
AMER,FY21Q4,Venezuela,34187.0,384.0,0.0,0.0,0.0,0.0
AMER,FY22Q1,Argentina,1062001.0,16090.0,328133.0,0.0,47872369.0,54.6
