Region,Location,Year,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
AMER,Argentina,2020,1625514.0,43245.0,538765.0,0.0,25.0,219.6
AMER,Argentina,2021,4028894.0,73924.0,1205691.0,0.0,3967055689.0,219.0
AMER,Argentina,2022,3386716.0,10896.0,147818.0,0.0,3328696160.0,55.8
AMER,Brazil,2020,7700828.0,195072.0,0.0,0.0,0.0,1054.0
AMER,Brazil,2021,14485929.0,424262.0,0.0,0.0,17472768786.0,1241.0
AMER,Brazil,2022,7710946.0,41076.0,0.0,0.0,13286412838.0,316.2
AMER,Canada,2020,523454.0,15307.0,74696.0,371876.0,0.0,167.0
AMER,Canada,2021,1603.0,0.0,653.0,1412.0,65959173.0,1.5
AMER,Canada,2022,65840.0,420.0,5572.0,49190.0,0.0,5.5
AMER,Chile,2020,608973.0,16608.0,277223.0,0.0,0.0,406.90000000000003
AMER,Chile,2021,1197521.0,22720.0,592139.0,0.0,3357873374.0,474.5
AMER,Chile,2022,1680159.0,6188.0,66002.0,0.0,1501072569.0,120.9
AMER,Colombia,2020,1642775.0,43213.0,0.0,0.0,0.0,1354.5
AMER,Colombia,2021,3514665.0,86729.0,0.0,0.0,2726649528.0,1642.5
AMER,Colombia,2022,928486.0,9718.0,0.0,0.0,1815959315.0,418.5
AMER,Mexico,2020,1426094.0,123018.0,0.0,0.0,0.0,915.0
AMER,Mexico,2021,2553629.0,169349.0,0.0,0.0,7035702985.0,912.5
AMER,Mexico,2022,1686492.0,23795.0,0.0,0.0,5498611865.0,232.5
AMER,Peru,2020,1015137.0,93070.0,0.0,0.0,0.0,1053.5
AMER,Peru,2021,1281694.0,110329.0,0.0,0.0,2353596095.0,1277.5
AMER,Peru,2022,1251728.0,9638.0,0.0,0.0,2080360428.0,325.5
AMER,United States,2020,16217495.0,301805.0,1937852.0,7194729.0,0.0,391.2
AMER,United States,2022,50429.0,194.0,3684.0,19025.0,434945875.0,3.5999999999999996
AMER,Venezuela,2020,113558.0,1034.0,0.0,0.0,0.0,0.0
AMER,Venezuela,2021,331077.0,4300.0,0.0,0.0,57693835.0,0.0
AMER,Venezuela,2022,76208.0,358.0,0.0,0.0,99244658.0,0.0
APJ,Afghanistan,2020,52332.0,2189.0,0.0,0.0,0.0,0.0
APJ,Afghanistan,2021,105754.0,5167.0,0.0,0.0,9741539.0,0.0
APJ,Afghanistan,2022,19749.0,315.0,0.0,0.0,67975210.0,0.0
APJ,Australia,2020,28425.0,910.0,5330.0,39624.0,0.0,170.5
APJ,Australia,2021,9771.0,0.0,1086.0,11671.0,132725785.0,102.5
APJ,Australia,2022,88707.0,173.0,806.0,12880.0,40605114.0,2.0
APJ,Bangladesh,2020,513510.0,7559.0,0.0,0.0,0.0,4425.2
APJ,Bangladesh,2021,1072029.0,20513.0,0.0,0.0,2085769321.0,5402.0
APJ,Bangladesh,2022,366231.0,1050.0,0.0,0.0,3333275365.0,1376.4
APJ,Bhutan,2020,670.0,0.0,0.0,0.0,0.0,451.5
APJ,Bhutan,2021,1990.0,3.0,0.0,0.0,12786641.0,547.5
APJ,Bhutan,2022,28777.0,9.0,0.0,0.0,5730038.0,139.5
APJ,Brunei,2020,157.0,3.0,0.0,0.0,0.0,0.0
APJ,Brunei,2021,15331.0,95.0,0.0,0.0,21220524.0,0.0
APJ,Brunei,2022,120504.0,115.0,0.0,0.0,3633142.0,0.0
APJ,Cambodia,2020,378.0,0.0,0.0,0.0,0.0,0.0
APJ,Cambodia,2021,120115.0,3012.0,0.0,0.0,1941442310.0,0.0
APJ,Cambodia,2022,15254.0,42.0,0.0,0.0,1146270939.0,0.0
APJ,China,2020,93172.0,4617.0,0.0,0.0,0.0,241.49999999999997
APJ,China,2021,21498.0,5.0,0.0,0.0,19267006000.0,255.49999999999997
APJ,China,2022,144194.0,2.0,0.0,0.0,15996359000.0,65.1
APJ,Cook Islands,2021,2.0,0.0,0.0,0.0,86990.0,0.0
APJ,Cook Islands,2022,2294.0,0.0,0.0,0.0,119428.0,0.0
APJ,Fiji,2020,49.0,2.0,0.0,0.0,0.0,471.79999999999995
APJ,Fiji,2021,53283.0,698.0,0.0,0.0,9540742.0,510.99999999999994
APJ,Fiji,2022,11085.0,136.0,0.0,0.0,8030898.0,130.2
APJ,Hong Kong,2020,8846.0,148.0,0.0,0.0,0.0,0.0
APJ,Hong Kong,2021,3827.0,65.0,0.0,0.0,744653828.0,0.0
APJ,Hong Kong,2022,1158773.0,7959.0,0.0,0.0,474819965.0,0.0
APJ,India,2020,10286709.0,148995.0,0.0,0.0,0.0,7144.4
APJ,India,2021,24574870.0,325118.0,0.0,0.0,51337935159.0,7738.0
APJ,India,2022,8167465.0,39872.0,0.0,0.0,67591419348.0,1971.6
APJ,Indonesia,2020,743198.0,22138.0,0.0,0.0,0.0,1738.5
APJ,Indonesia,2021,3519522.0,121956.0,0.0,0.0,11295449086.0,2080.5
APJ,Indonesia,2022,1753028.0,11070.0,0.0,0.0,12280141426.0,530.1
APJ,Japan,2020,235747.0,3492.0,11729.0,156063.0,0.0,0.0
APJ,Japan,2021,1496547.0,14897.0,58110.0,500430.0,8543778512.0,0.0
APJ,Japan,2022,4968341.0,9898.0,17236.0,245216.0,5404070447.0,0.0
APJ,Kiribati,2021,2.0,0.0,0.0,0.0,85970.0,0.0
APJ,Kiribati,2022,3069.0,13.0,0.0,0.0,230397.0,0.0
APJ,Laos,2020,41.0,0.0,0.0,0.0,0.0,6424.099999999999
APJ,Laos,2021,111019.0,372.0,0.0,0.0,64482741.0,8285.5
APJ,Laos,2022,72500.0,308.0,0.0,0.0,90242443.0,2111.1
APJ,Malaysia,2020,113010.0,471.0,14736.0,270365.0,0.0,34.300000000000004
APJ,Malaysia,2021,175219.0,610.0,17708.0,196865.0,0.0,5.4
APJ,Maldives,2020,13757.0,48.0,0.0,0.0,0.0,0.0
APJ,Maldives,2021,81943.0,214.0,0.0,0.0,55844705.0,0.0
APJ,Maldives,2022,81300.0,36.0,0.0,0.0,18884215.0,0.0
APJ,Mongolia,2020,1195.0,1.0,0.0,0.0,0.0,148.5
APJ,Mongolia,2021,691426.0,2058.0,0.0,0.0,354579695.0,182.5
APJ,Mongolia,2022,226246.0,118.0,0.0,0.0,130238155.0,46.5
APJ,Myanmar,2020,124630.0,2682.0,0.0,0.0,0.0,1792.0
APJ,Myanmar,2021,406204.0,16587.0,0.0,0.0,102174864.0,2336.0
APJ,Myanmar,2022,81041.0,165.0,0.0,0.0,381729688.0,595.2
APJ,Nauru,2021,0.0,0.0,0.0,0.0,26319.0,0.0
