BU_ID,Country,Region,Quarter,SKU_NUMBER,SKU_AGE,Category,Revenue,Margin,Revenue_Rng
11,United States,AMER,FY22Q3,020K1,3,BATTERY,99.99,86.4,Revenue < Mean
11,United States,AMER,FY22Q3,1P6KD,7,BATTERY,25413.54,24746.22,Revenue > Mean
11,United States,AMER,FY22Q3,1V2F6,8,BATTERY,281.57,237.47,Revenue < Mean
11,United States,AMER,FY22Q3,1VRGY,5,RAM/DRAM/VRAM/CACHE,4694.3,3397.12,Revenue < Mean
11,United States,AMER,FY22Q3,1VX1H,4,BATTERY,80360.38,64096.88,Revenue > Mean
11,United States,AMER,FY22Q3,1WWHW,8,BATTERY,173.78,144.38,Revenue < Mean
11,United States,AMER,FY22Q3,203-BBGT,7,KEYBOARD,722403.39,392928.05,Revenue > Mean
11,United States,AMER,FY22Q3,203-BBIO,6,ACCESSORIES,1385.45,423.7,Revenue < Mean
11,United States,AMER,FY22Q3,21X15,6,BATTERY,177.08,144.88,Revenue < Mean
11,United States,AMER,FY22Q3,262-BBBD,3,NETWORKING CARDS,4555.66,3418.08,Revenue < Mean
11,United States,AMER,FY22Q3,2VKW9,1,BATTERY,73.99,48.08,Revenue < Mean
11,United States,AMER,FY22Q3,310-5109,21,Enterprise Server HW,1445.67,515.27,Revenue < Mean
11,United States,AMER,FY22Q3,310-6537,17,Enterprise Server HW,1076.28,778.68,Revenue < Mean
11,United States,AMER,FY22Q3,310-9250,15,Enterprise Server HW,39.98,33.06,Revenue < Mean
11,United States,AMER,FY22Q3,310-9259,15,Enterprise Server HW,3715.86,1960.08,Revenue < Mean
11,United States,AMER,FY22Q3,318-1492,11,CD-ROM,68.14,51.8,Revenue < Mean
11,United States,AMER,FY22Q3,318-2826,9,CD-ROM,117.47,59.63,Revenue < Mean
11,United States,AMER,FY22Q3,321-BDSB,4,NETWORKING CARDS,1619.14,820.3,Revenue < Mean
11,United States,AMER,FY22Q3,321-BFYN,2,CHASSIS/COVER/PANEL/BEZEL,127.14,-56.42,Revenue < Mean
11,United States,AMER,FY22Q3,325-BBUD,7,CHASSIS/COVER/PANEL/BEZEL,689.7,28.04,Revenue < Mean
11,United States,AMER,FY22Q3,325-BBUQ,7,NETWORKING CARDS,204.92,20.43,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDBU,4,NETWORKING CARDS,46.27,-411.38,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDBY,4,NETWORKING CARDS,2003.56,1416.64,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDCC,4,NETWORKING CARDS,1233.83,859.43,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDDV,4,NETWORKING CARDS,7127.34,4932.966,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDDW,4,NETWORKING CARDS,18523.85,2975.319,Revenue > Mean
11,United States,AMER,FY22Q3,325-BDDZ,4,NETWORKING CARDS,4469.32,3032.6,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDGF,4,Enterprise Server HW,18.88,6.0,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDHB,4,Enterprise Server HW,25.87,16.17,Revenue < Mean
